Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,"Address (Building Name/Number Street)",Postcode,Town/City,County/State,Country,Action,Scheme,Scheme ID
PizzaExpress,9421574187,5413711,5413711,194a Haverstock Hill Belsize Park London,NW3 2AJ,Belsize Park,,,A,avios,133
PizzaExpress,9421497546,5410816,5410816,23 Bond Street Ealing London,W5 5AS,Ealing,,,A,avios,133
PizzaExpress,9421364142,5410691,5410691,10 Dean Street Newcastle upon Tyne,NE1 1PG,Newcastle,,,A,avios,133
PizzaExpress,9421364324,5403480,5403480,22 St Peters Street Bedford Bedfordshire,MK40 2PN,Bedford,,,A,avios,133
PizzaExpress,9421364340,5402615,5402615,168 The Parade Royal Leamington Spa,CV32 4AE,Leamington Spa,,,A,avios,133
PizzaExpress,9421111725,5403084,5403084,20 Greek Street Soho London,W1D 4DU,London,,,A,avios,133
PizzaExpress,9421111766,5413836,5413836,4 Market Place Macclesfield Cheshire,SK10 1EX,Macclesfield,,,A,avios,133
PizzaExpress,9421111808,5413588,5413588,81 High Street Tunbridge Wells Kent,TN1 1YB,Tunbridge Wells,,,A,avios,133
PizzaExpress,9421111832,5403514,5403514,19 Market Place Hitchin Hertfordshire,SG5 1DT,Hitchin,,,A,avios,133
PizzaExpress,9421111691,5413703,5413703,133 Baker Street London,W1U 6SF,London,,,A,avios,133
PizzaExpress,9421111816,5409651,5409651,74 Castle Street Farnham Surrey,GU9 7LS,Farnham,,,A,avios,133
PizzaExpress,9421111774,5403100,5403100,43 Abbeville Road Clapham London,SW4 9JX,Clapham,,,A,avios,133
PizzaExpress,9421007303,5413778,5413778,125 Alban Gate London Wall London,EC2Y 5AS,London,,,A,avios,133
PizzaExpress,9421111782,5410618,5410618,5 Bath Road Old Town Swindon Wiltshire,SN1 4AS,Swindon,,,A,avios,133
PizzaExpress,9421004573,5402649,5402649,94/98 Chaseside Southgate London,N14 5PH,Southgate,,,A,avios,133
PizzaExpress,9421004581,5403613,5403613,7 Beauchamp Place Knightsbridge London,SW3 1NQ,London,,,A,avios,133
PizzaExpress,9421584061,5413000,5413000,4 The Citadel Corporation Street Birmingham,B4 6QB,Birmingham,,,A,avios,133
PizzaExpress,9421345273,5413018,5413018,The Waters Edge Brindley Place Broad Street Birmingham,B1 2HL,Birmingham,,,A,avios,133
PizzaExpress,9421387911,5402847,5402847,5 High Street Brentwood Essex,CM14 4RG,Brentwood,,,A,avios,133
PizzaExpress,9421004508,5413653,5413653,70 Heath Street Hampstead London,NW3 1DN,Hampstead,,,A,avios,133
PizzaExpress,9421004516,5410238,5410238,24 Cornfield Road Eastbourne East Sussex,BN21 4QH,Eastbourne  ,,,A,avios,133
PizzaExpress,9421004524,5410360,5410360,2 Broadgate Cathedral Yard Exeter Devon,EX1 1HJ,Exeter,,,A,avios,133
PizzaExpress,9421004607,5402656,5402656,33-35 High Street Pinner Middlesex,HA5 5PJ,Pinner,,,A,avios,133
PizzaExpress,9421004656,5413067,5413067,PE Milton Keynes 1 - Mid Boulevard,,Milton Keynes,,,A,avios,133
PizzaExpress,9421004664,5413059,5413059,4 King Street Leicester Leicestershire,LE1 6RJ,Leicester,,,A,avios,133
PizzaExpress,9421004599,5402987,5402987,7-9 Charlotte Street London,W1T 1RB,London,,,A,avios,133
PizzaExpress,9421038506,5402664,5402664,94 The Village Dulwich London,SE21 7AQ,Dulwich Village,,,A,avios,133
PizzaExpress,9421004615,5413893,5413893,1264 High Road Whetstone London,N20 9HH,Whetstone,,,A,avios,133
PizzaExpress,9421007279,5402979,5402979,23 Bruton Place Mayfair London,W1J 6ND,London,,,A,avios,133
PizzaExpress,9421007170,5410071,5410071,35 Market Place Market Place Henley on Thames Oxfordshire,RG9 2AA,Henley on Thames,,,A,avios,133
PizzaExpress,9421007162,5410063,5410063,14 London End Beaconsfield Buckinghamshire,HP9 2JH,Beaconsfield,,,A,avios,133
PizzaExpress,9421007212,5410428,5410428,9 Stert Street Abingdon Oxfordshire,OX14 3JF,Abingdon,,,A,avios,133
PizzaExpress,9421041104,5413935,5413935,269 High Street Lincoln Lincolnshire,LN2 1JG,Lincoln ,,,A,avios,133
PizzaExpress,9421138819,5413695,5413695,PE West End Lane,,Lincolnshire,,,A,avios,133
PizzaExpress,9421189507,5410097,5410097,48 High Street Marlow Buckinghamshire,SL7 1AW,Marlow,,,A,avios,133
PizzaExpress,9421195603,5413489,5413489,39 High Street East Grinstead West Sussex,RH19 3AF,East Grinstead,,,A,avios,133
PizzaExpress,9421039215,5413406,5413406,82 Clifton Street Lytham Lancashire,FY8 5EN,Lytham,,,A,avios,133
